,classname,confidence,edges,mutation
234,Verbot für Fahrzeuge aller Art,0.96759564,8,1.7
235,Zulässige Höchstgeschwindigkeit (100),0.75940019,8,1.75
236,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99586618,8,1.8
237,Einmalige Vorfahrt,0.8230651,8,1.85
238,Rechts vorbei,0.98962879,8,1.9
239,Ausschließlich rechts,0.89441019,8,1.95
240,Ende aller Streckenverbote,0.94781071,9,0.0
241,Ende aller Streckenverbote,0.9599005,9,0.05
242,Ende aller Streckenverbote,0.96084124,9,0.1
243,Ende aller Streckenverbote,0.96772712,9,0.15
244,Ende aller Streckenverbote,0.91532832,9,0.2
245,Ende aller Streckenverbote,0.76964748,9,0.25
246,Ende aller Streckenverbote,0.48691416,9,0.3
247,Ende aller Streckenverbote,0.41119495,9,0.35
248,Ende aller Streckenverbote,0.81143856,9,0.4
249,Ende aller Streckenverbote,0.76237881,9,0.45
250,Verbot für Fahrzeuge aller Art,0.66481966,9,0.5
251,Vorfahrt,0.70539057,9,0.55
252,Verbot für Fahrzeuge aller Art,0.40797561,9,0.6
253,Verbot für Fahrzeuge aller Art,0.51389885,9,0.65
254,Baustelle,0.81401974,9,0.7
255,Verbot für Fahrzeuge aller Art,0.97125477,9,0.75
256,Verbot für Fahrzeuge aller Art,0.60436141,9,0.8
257,Doppelkurve (zunächst links),0.25063688,9,0.85
258,Verbot für Fahrzeuge aller Art,0.99980634,9,0.9
259,Vorfahrt,0.99727988,9,0.95
260,Vorfahrt,0.97669625,9,1.0
261,Ende aller Streckenverbote,0.44050699,9,1.05
262,Verbot für Fahrzeuge aller Art,0.83885491,9,1.1
263,Verbot für Fahrzeuge aller Art,0.03600894,9,1.15
264,Ausschließlich geradeaus,0.5875296,9,1.2
265,Verbot für Fahrzeuge aller Art,0.6552785,9,1.25
266,Verbot für Fahrzeuge aller Art,0.78335136,9,1.3
267,Rechts vorbei,0.41867259,9,1.35
268,Unebene Fahrbahn,0.91644424,9,1.4
269,Vorfahrt,0.93347931,9,1.45
270,Vorfahrt gewähren,0.56766129,9,1.5
271,Rechts vorbei,0.33503446,9,1.55
272,Zulässige Höchstgeschwindigkeit (120),0.96975797,9,1.6
